index,mid,display_name,main_class
0,/m/09x0r,Speech,speech
1,/m/05zppz,"Male speech, man speaking",speech
2,/m/02zsn,"Female speech, woman speaking",speech
3,/m/0ytgt,"Child speech, kid speaking",speech
4,/m/01h8n0,Conversation,speech
5,/m/02qldy,"Narration, monologue",speech
6,/m/0261r1,Babbling,speech
7,/m/0brhx,Speech synthesizer,speech
8,/m/07p6fty,Shout,speech
9,/m/07q4ntr,Bellow,sound effect
10,/m/07rwj3x,Whoop,sound effect
11,/m/07sr1lc,Yell,speech
12,/m/04gy_2,Battle cry,sound effect
13,/t/dd00135,Children shouting,speech
14,/m/03qc9zr,Screaming,sound effect
15,/m/02rtxlg,Whispering,sound effect
16,/m/01j3sz,Laughter,sound effect
17,/t/dd00001,Baby laughter,sound effect
18,/m/07r660_,Giggle,sound effect
19,/m/07s04w4,Snicker,sound effect
20,/m/07sq110,Belly laugh,sound effect
21,/m/07rgt08,"Chuckle, chortle",sound effect
22,/m/0463cq4,"Crying, sobbing",sound effect
23,/t/dd00002,"Baby cry, infant cry",sound effect
24,/m/07qz6j3,Whimper,sound effect
25,/m/07qw_06,"Wail, moan",sound effect
26,/m/07plz5l,Sigh,sound effect
27,/m/015lz1,Singing,music
28,/m/0l14jd,Choir,music
29,/m/01swy6,Yodeling,sound effect
30,/m/02bk07,Chant,sound effect
31,/m/01c194,Mantra,sound effect
32,/t/dd00003,Male singing,music
33,/t/dd00004,Female singing,music
34,/t/dd00005,Child singing,music
35,/t/dd00006,Synthetic singing,music
36,/m/06bxc,Rapping,sound effect
37,/m/02fxyj,Humming,sound effect
38,/m/07s2xch,Groan,sound effect
39,/m/07r4k75,Grunt,sound effect
40,/m/01w250,Whistling,sound effect
41,/m/0lyf6,Breathing,sound effect
42,/m/07mzm6,Wheeze,sound effect
43,/m/01d3sd,Snoring,sound effect
44,/m/07s0dtb,Gasp,sound effect
45,/m/07pyy8b,Pant,sound effect
46,/m/07q0yl5,Snort,sound effect
47,/m/01b_21,Cough,sound effect
48,/m/0dl9sf8,Throat clearing,sound effect
49,/m/01hsr_,Sneeze,sound effect
50,/m/07ppn3j,Sniff,sound effect
51,/m/06h7j,Run,sound effect
52,/m/07qv_x_,Shuffle,sound effect
53,/m/07pbtc8,"Walk, footsteps",sound effect
54,/m/03cczk,"Chewing, mastication",sound effect
55,/m/07pdhp0,Biting,sound effect
56,/m/0939n_,Gargling,sound effect
57,/m/01g90h,Stomach rumble,sound effect
58,/m/03q5_w,"Burping, eructation",sound effect
59,/m/02p3nc,Hiccup,sound effect
60,/m/02_nn,Fart,sound effect
61,/m/0k65p,Hands,sound effect
62,/m/025_jnm,Finger snapping,sound effect
63,/m/0l15bq,Clapping,sound effect
64,/m/01jg02,"Heart sounds, heartbeat",sound effect
65,/m/01jg1z,Heart murmur,sound effect
66,/m/053hz1,Cheering,sound effect
67,/m/028ght,Applause,sound effect
68,/m/07rkbfh,Chatter,sound effect
69,/m/03qtwd,Crowd,sound effect
70,/m/07qfr4h,"Hubbub, speech noise, speech babble",speech
71,/t/dd00013,Children playing,sound effect
72,/m/0jbk,Animal,sound effect
73,/m/068hy,"Domestic animals, pets",sound effect
74,/m/0bt9lr,Dog,sound effect
75,/m/05tny_,Bark,sound effect
76,/m/07r_k2n,Yip,sound effect
77,/m/07qf0zm,Howl,sound effect
78,/m/07rc7d9,Bow-wow,sound effect
79,/m/0ghcn6,Growling,sound effect
80,/t/dd00136,Whimper (dog),sound effect
81,/m/01yrx,Cat,sound effect
82,/m/02yds9,Purr,sound effect
